Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.4633,22567,7.743729461000477,69770.0,3.0,1
0.5762,1522,5.836018617973505,44474.0,1.0,0
0.4925,2699,10.467851542080501,40500.0,1.0,0
0.4501,2375,5.551466722742089,48658.0,1.0,0
0.4603,1273,8.040201005025125,47107.0,1.0,0
0.4377,1910,9.043283023574904,45447.0,1.0,0
0.477,3022,7.2492458521870295,47986.0,1.0,0
0.4643,1070,10.805792796138135,58835.0,2.0,0
0.4662,2799,8.108390330496528,52365.0,1.0,0
0.4731,4421,5.780601888624128,57639.0,2.0,0
0.4796,9101,9.776247848537006,54677.0,2.0,0
0.4085,804,2.524955960070464,59531.0,2.0,0
0.4908,1416,8.043448370686098,41128.0,1.0,0
0.4116,6650,4.036789834629235,82365.0,4.0,1
0.4669,1012,6.3861758076634105,51125.0,1.0,0
0.4354,1599,3.9434048379735276,55930.0,2.0,0
0.388,415,3.850156087408949,60707.0,2.0,0
0.4361,1021,3.5308953341740232,61111.0,2.0,0
0.4666,7822,3.8120104438642297,47550.0,1.0,0
0.4368,1387,6.654135338345865,51514.0,1.0,0
0.4904,36671,5.1738928201061425,85212.0,4.0,1
0.4607,8156,6.685193762544388,56164.0,2.0,0
0.4506,4353,4.709032721572726,51986.0,1.0,0
0.4673,6228,4.267098639490655,76873.0,4.0,1
0.4265,3461,4.066060683651261,74213.0,4.0,1
0.442,2577,10.075230930387583,49611.0,1.0,0
0.4317,1156,7.214524605828954,48125.0,1.0,0
0.4268,913,2.2784435567391625,59120.0,2.0,0
0.4033,829,5.220251716247139,64732.0,3.0,1
0.4895,1332,9.788555374833653,44046.0,1.0,0
0.4351,2331,5.929632999696694,53287.0,1.0,0
0.4501,998,6.32462084543401,44692.0,1.0,0
0.4243,2400,5.731606503168917,61523.0,2.0,0
0.4807,1996,7.575757575757576,44148.0,1.0,0
0.4284,4014,4.275326455248029,68299.0,3.0,1
0.401,1029,4.156528791565288,61420.0,2.0,0
0.4657,37862,5.057053440470238,68568.0,3.0,1
0.4493,3099,5.862398886666087,52500.0,1.0,0
0.449,1183,4.896783485357657,49156.0,1.0,0
0.4165,8330,5.790057785771689,51058.0,1.0,0
0.4405,5264,5.129133751329817,62461.0,3.0,1
0.4107,982,2.5163563160543534,58809.0,2.0,0
0.3982,1970,4.308488534622795,79015.0,4.0,1
0.3921,805,4.980842911877394,66645.0,3.0,1
0.4668,1423,5.128597672994489,51766.0,1.0,0
0.4117,2836,6.540447504302927,47648.0,1.0,0
0.4031,2831,4.157573112178088,71195.0,3.0,1
0.4133,1225,3.8899900891972248,55489.0,2.0,0
0.4631,2419,3.9849758540511537,60089.0,2.0,0
0.4245,1261,4.520704064834748,57845.0,2.0,0
0.3975,7474,3.3321743967735205,96349.0,4.0,1
0.4552,4209,5.145205203186447,66731.0,3.0,1
0.4211,751,3.4426229508196724,58721.0,2.0,0
0.4132,1183,4.705232807803203,55859.0,2.0,0
0.4172,454,3.285870755750274,64630.0,3.0,1
0.4537,1149,4.395880432052248,60126.0,2.0,0
0.487,6235,8.223959787768779,46901.0,1.0,0
0.4526,891,7.101947308132875,55867.0,2.0,0
0.4078,832,8.566382101854577,44932.0,1.0,0
0.419,1334,2.7772863966035732,51598.0,1.0,0
0.4693,2337,4.532919682867977,45010.0,1.0,0
0.3886,2250,5.136825645035184,67420.0,3.0,1
0.4087,2092,6.881787154824698,54421.0,2.0,0
0.4332,981,6.934953176411035,57246.0,2.0,0
0.4832,2597,6.053723089077622,59438.0,2.0,0
0.4291,2688,3.7053954797098534,92699.0,4.0,1
0.4278,4911,5.695118968589497,57497.0,2.0,0
0.5081,35920,8.288529129197224,53147.0,1.0,0
0.4149,514,3.153564899451554,70909.0,3.0,1
0.4802,3479,9.275994046353391,48733.0,1.0,0
0.451,2857,8.0702881262617,60304.0,2.0,0
0.4998,1599,7.204874333587205,60534.0,2.0,0
0.5103,662,8.278688524590164,31165.0,1.0,0
0.4366,827,6.257153758107592,76098.0,4.0,1
0.4571,5255,5.587675032583631,63404.0,3.0,1
0.4367,852,3.0927835051546393,56688.0,2.0,0
0.4795,4894,1.6495569009388436,69119.0,3.0,1
0.3963,11981,4.566288653138517,96973.0,4.0,1
0.4345,3440,5.98871237458194,62929.0,3.0,1
0.4406,999,8.532240826505165,53472.0,1.0,0
0.4431,4998,5.455982459271346,68158.0,3.0,1
0.4314,457,4.326220403390821,68796.0,3.0,1
0.4978,157487,6.051537456797521,69137.0,3.0,1
0.4505,5486,4.510394130373436,68019.0,3.0,1
0.4733,2364,4.267802604082945,70705.0,3.0,1
0.4997,81598,5.2493849300286355,64011.0,3.0,1
0.4747,167,17.857142857142858,72750.0,4.0,1
0.4334,1603,3.072289156626506,59409.0,2.0,0
0.41,4714,4.296400485902436,70413.0,3.0,1
0.4583,1963,4.583033788641265,61851.0,2.0,0
0.456,650,5.4749744637385085,62276.0,3.0,1
0.4163,708,5.461638491547465,59891.0,2.0,0
0.4738,10913,4.455015477003787,61279.0,2.0,0
0.4888,778,1.1904761904761905,57875.0,2.0,0
0.4919,1003,4.1445270988310305,56688.0,2.0,0
0.5607,3806,5.21044992743106,45442.0,1.0,0
0.3696,811,5.280172413793103,66442.0,3.0,1
0.4975,813,11.519114688128774,43438.0,1.0,0
0.48,17503,4.484509218664014,90716.0,4.0,1
0.52,1099,16.41826354388455,34957.0,1.0,0
0.488,7937,5.2110548298231585,46019.0,1.0,0
0.3662,224,0.9375,75662.0,4.0,1
0.4088,642,2.1070615034168565,51901.0,1.0,0
0.4958,2338,9.115299944964226,52489.0,1.0,0
0.4209,1517,4.998507908087138,69778.0,3.0,1
0.4598,857,7.2513287775246775,45134.0,1.0,0
0.4761,567,6.38646288209607,58917.0,2.0,0
0.4629,2081,10.581778265642152,45625.0,1.0,0
0.4468,1494,5.6673728813559325,69324.0,3.0,1
0.4662,4564,8.552493896058598,62238.0,3.0,1
0.4888,14110,5.741673638677751,59772.0,2.0,0
0.4537,720,6.692307692307692,54083.0,2.0,0
0.4742,172,3.614457831325301,74148.0,4.0,1
0.4504,1318,2.9391543485733926,52198.0,1.0,0
0.4322,269,6.105990783410138,72750.0,4.0,1
0.4429,1047,2.5012893243940173,55081.0,2.0,0
0.474,1048,5.664585191793042,60435.0,2.0,0
0.5054,537,15.47212741751991,57292.0,2.0,0
0.4396,1626,2.8353326063249726,60926.0,2.0,0
0.4611,58585,5.004357122108942,76660.0,4.0,1
0.4225,3893,3.317392398691165,53125.0,1.0,0
0.4144,4193,3.6103205776512923,82083.0,4.0,1
0.4161,1426,4.081632653061225,70466.0,3.0,1
0.4609,3636,5.341066481994459,63423.0,3.0,1
0.4364,2061,4.168677024027791,58714.0,2.0,0
0.4356,2062,2.9938059187887127,54718.0,2.0,0
0.4635,2497,6.2308313155770785,48259.0,1.0,0
0.4822,1035,14.597256419275414,29927.0,1.0,0
0.4278,2150,4.656303972366149,79066.0,4.0,1
0.3614,94,0.0,40625.0,1.0,0
0.4656,3127,3.4886086248982915,59325.0,2.0,0
0.3841,2938,3.032211439190584,92948.0,4.0,1
0.4468,505,1.4749262536873156,67672.0,3.0,1
0.443,424,2.0557491289198606,73462.0,4.0,1
0.4188,128,0.35335689045936397,59167.0,2.0,0
0.3992,511,2.0794571522381524,82555.0,4.0,1
0.463,394,2.364864864864865,60887.0,2.0,0
0.3874,695,3.145963451306963,67994.0,3.0,1
0.4665,83,1.0101010101010102,66250.0,3.0,1
0.4123,1278,3.3599438547240985,68628.0,3.0,1
0.4245,273,2.840909090909091,76591.0,4.0,1
